q_id,time_inference_sec,total_cpu_time_sec,word_count,word_count_bin,satisfaction_score,id,query1,query2,energy_total
session_040_q06,6.362851858139038,0.0007101000010152,51,3,0.0,cikm_trace_0_10_0,10,0,699.95275989535
session_033_q26,7.258628606796265,0.0007194999998318,27,0,0.0,cikm_trace_0_10_1,10,0,798.4887192475799
session_001_q30,16.43698000907898,0.0013630999999918,42,2,0.0,cikm_trace_0_10_2,10,0,1808.1427714986874
session_005_q25,7.209255695343018,0.0009092000000236,61,4,0.975483870967742,cikm_trace_0_10_3,10,0,793.0681324877332
session_019_q22,10.060274124145508,0.000798199997007,24,0,0.8346666666666667,cikm_trace_0_10_4,10,0,1106.6740546558412
session_037_q30,9.568299055099487,0.0007392000006801,31,1,0.7387096774193549,cikm_trace_0_10_5,10,0,1052.553552060981
session_049_q14,15.614922761917114,0.0008075999976426,45,2,0.7079545454545455,cikm_trace_0_10_6,10,0,1717.685921810753
session_004_q15,11.673489332199097,0.0007615999998051,45,2,0.8734513274336283,cikm_trace_0_10_7,10,0,1284.12571454189
session_023_q26,10.623825311660768,0.0008598000003984,30,0,0.8273809523809523,cikm_trace_0_10_8,10,0,1168.6680732827065
session_015_q35,10.414010763168337,0.0007649999997737,49,3,0.8411764705882353,cikm_trace_0_10_9,10,0,1145.5832589485046
session_022_q08,11.122916460037231,0.000821800000267,50,3,0.0,cikm_trace_1_10_0,10,1,1223.5660096041101
session_008_q09,12.251899003982544,0.0008872999997038,78,4,0.0,cikm_trace_1_10_1,10,1,1347.7576919380635
session_030_q03,16.355515003204346,0.0007363999993685,37,1,0.0,cikm_trace_1_10_2,10,1,1799.1471523524433
session_012_q30,16.1166729927063,0.0008890000008249,55,3,0.8916666666666666,cikm_trace_1_10_3,10,1,1772.8829241977382
session_026_q12,11.932612657546995,0.0006873999991511,32,1,0.7613333333333333,cikm_trace_1_10_4,10,1,1312.6251993301228
session_006_q20,12.539939880371094,0.0009083999998437,54,3,0.924223602484472,cikm_trace_1_10_5,10,1,1379.4433488408117
session_038_q13,10.542319297790527,0.0006972999981369,20,0,0.6833333333333333,cikm_trace_1_10_6,10,1,1159.6934742568556
session_030_q14,8.081678867340088,0.0018610999995871,24,0,0.8149253731343283,cikm_trace_1_10_7,10,1,889.087035907387
session_004_q27,14.803343057632446,0.0008684000001721,53,3,0.8034482758620689,cikm_trace_1_10_8,10,1,1628.4154983395786
session_022_q15,11.145862340927124,0.0011088000010203,42,2,0.8592233009708737,cikm_trace_1_10_9,10,1,1226.1058415020398
session_033_q40,12.523372173309326,0.0007841999995433,47,3,0.0,cikm_trace_2_10_0,10,2,1377.6140700640008
session_018_q29,14.025946855545044,0.0010682000001906,81,4,0.0,cikm_trace_2_10_1,10,2,1542.9129051099653
session_009_q34,16.328165769577026,0.000864999999976,53,3,0.0,cikm_trace_2_10_2,10,2,1796.1458096534716
session_024_q04,6.355666875839233,0.0008309000022563,31,1,0.7571428571428571,cikm_trace_2_10_3,10,2,699.1690558424398
session_015_q14,8.342920780181885,0.0005952000010438,31,1,0.8888888888888888,cikm_trace_2_10_4,10,2,917.7540218200647
session_022_q04,8.351531982421875,0.000691999999617,35,1,0.796875,cikm_trace_2_10_5,10,2,918.7065780663852
session_026_q24,9.60452938079834,0.0008691000002726,42,2,0.8598039215686275,cikm_trace_2_10_6,10,2,1056.5460323878324
session_049_q02,11.757622718811035,0.0010744999999587,44,2,0.818,cikm_trace_2_10_7,10,2,1293.3975965692116
session_021_q07,9.317441940307615,0.0007985000011103,33,1,0.8529411764705882,cikm_trace_2_10_8,10,2,1024.9625309338987
session_023_q26,10.623825311660768,0.0008598000003984,30,0,0.8273809523809523,cikm_trace_2_10_9,10,2,1168.6680732827065
session_015_q24,16.53302311897278,0.0009026000006996,82,4,0.0,cikm_trace_3_10_0,10,3,1818.682186087044
session_029_q18,12.130897045135498,0.0006622000000787,24,0,0.0,cikm_trace_3_10_1,10,3,1334.4350959649091
session_029_q07,16.589564085006714,0.0008401999984925,49,3,0.0,cikm_trace_3_10_2,10,3,1824.8982603506556
session_010_q36,15.774277210235596,0.0009576000002197,64,4,0.8674074074074074,cikm_trace_3_10_3,10,3,1735.2231611259276
session_044_q15,10.943300247192385,0.0005861999998159,37,1,0.8095238095238095,cikm_trace_3_10_4,10,3,1203.7952681911522
session_030_q12,11.92717432975769,0.0006830999991507,47,3,0.8129032258064516,cikm_trace_3_10_5,10,3,1312.0267467732992
session_031_q37,7.868115901947021,0.0006855999999969,33,1,0.8407894736842105,cikm_trace_3_10_6,10,3,865.5304572141721
session_049_q10,12.009382724761965,0.000758800000767,25,0,0.7081967213114754,cikm_trace_3_10_7,10,3,1321.0738337238583
session_022_q15,11.145862340927124,0.0011088000010203,42,2,0.8592233009708737,cikm_trace_3_10_8,10,3,1226.1058415020398
session_019_q10,8.49360179901123,0.000701900000422,62,4,0.8916666666666666,cikm_trace_3_10_9,10,3,934.3348023912586
session_026_q29,16.25533938407898,0.0009782999986781,48,3,0.0,cikm_trace_4_10_0,10,4,1788.141138748615
session_038_q07,11.165828704833984,0.0008207999999285,39,2,0.0,cikm_trace_4_10_1,10,4,1228.2863015317344
session_011_q03,11.365832567214966,0.0007992999999259,51,3,0.0,cikm_trace_4_10_2,10,4,1250.2855438936422
session_037_q34,14.21107053756714,0.0007549000001744,42,2,0.768041237113402,cikm_trace_4_10_3,10,4,1563.259278632395
session_034_q19,15.607579469680786,0.000764500000514,68,4,0.899004975124378,cikm_trace_4_10_4,10,4,1716.8757891649147
session_006_q22,12.697075605392456,0.000789700000041,27,0,0.6551724137931034,cikm_trace_4_10_5,10,4,1396.7217500931724
session_041_q05,10.622149467468262,0.0008922999986679,74,4,0.8129629629629629,cikm_trace_4_10_6,10,4,1168.4855179214355
session_019_q32,11.38884210586548,0.000822899999548,55,3,0.8923728813559322,cikm_trace_4_10_7,10,4,1252.817891145178
session_009_q23,8.341257810592651,0.0006764999998266,26,0,0.7796610169491526,cikm_trace_4_10_8,10,4,917.5755666651821
session_049_q18,11.930187463760376,0.0008220000017899,76,4,0.791,cikm_trace_4_10_9,10,4,1312.3658310137398
session_013_q10,9.64696741104126,0.0006628000000999,41,2,0.0,cikm_trace_0_11_0,11,0,1061.202869214544
session_032_q18,10.235921382904053,0.0006279000008361,47,3,0.0,cikm_trace_0_11_1,11,0,1125.9858866194918
session_026_q32,16.27770757675171,0.0007076000001687,50,3,0.0,cikm_trace_0_11_2,11,0,1790.5867514426973
session_017_q08,10.32805585861206,0.0007836999993741,63,4,0.8596153846153847,cikm_trace_0_11_3,11,0,1136.1292479472922
