q_id,time_inference_sec,total_cpu_time_sec,word_count,word_count_bin,satisfaction_score,id,query1,query2,energy_total
session_011_q03,11.365832567214966,0.0007992999999259,51,3,0.0,cikm_trace_2_20_0,20,2,1250.2855438936422
session_035_q34,16.390141487121582,0.0007729000008111,41,2,0.0,cikm_trace_2_20_1,20,2,1802.9580730834184
session_015_q03,16.350507020950317,0.0010103999993588,42,2,0.0,cikm_trace_2_20_2,20,2,1798.6113443044997
session_029_q23,8.979494333267212,0.0006777000016881,32,1,0.0,cikm_trace_2_20_3,20,2,987.7816501594862
session_030_q03,16.355515003204346,0.0007363999993685,37,1,0.0,cikm_trace_2_20_4,20,2,1799.1471523524433
session_023_q27,6.580693006515503,0.0007287000007635,47,3,0.0,cikm_trace_2_20_5,20,2,723.9163092167473
session_036_q07,12.088889598846436,0.0007923000011942,37,1,0.7674698795180723,cikm_trace_2_20_6,20,2,1329.8214323731736
session_011_q13,11.055538892745972,0.0007993999997778,48,3,0.7863636363636364,cikm_trace_2_20_7,20,2,1216.153245202045
session_041_q02,9.374318599700928,0.0006405999993148,37,1,0.8517241379310345,cikm_trace_2_20_8,20,2,1031.2102789670644
session_035_q28,6.180932283401489,0.0006602000012207,40,2,0.9071428571428573,cikm_trace_2_20_9,20,2,679.938862174231
session_006_q02,14.302900552749634,0.000893299999916,52,3,0.8299145299145299,cikm_trace_2_20_10,20,2,1573.368192302455
session_017_q22,9.446738243103027,0.0006884000003991,20,0,0.6266666666666667,cikm_trace_2_20_11,20,2,1039.179068741355
session_019_q39,8.861002922058105,0.0007179000003815,38,2,0.856043956043956,cikm_trace_2_20_12,20,2,974.7498059264126
session_050_q02,10.913390398025513,0.0006977000011829,37,1,0.7960526315789473,cikm_trace_2_20_13,20,2,1200.5113172828717
session_014_q23,10.573683261871338,0.0008347000002685,53,3,0.826,cikm_trace_2_20_14,20,2,1163.151067305862
session_025_q03,12.075861692428589,0.0006732999991071,39,2,0.7835294117647059,cikm_trace_2_20_15,20,2,1328.3818176670957
session_044_q39,13.309632301330566,0.0006654999997408,58,4,0.8674999999999999,cikm_trace_2_20_16,20,2,1464.096155646348
session_024_q05,9.898480415344238,0.0007863999999244,46,3,0.7878378378378379,cikm_trace_2_20_17,20,2,1088.876097687862
session_037_q21,15.442074298858644,0.0007824000022082,45,2,0.7291666666666666,cikm_trace_2_20_18,20,2,1698.6712048745724
session_011_q23,10.969452619552612,0.000746200001231,57,4,0.8449152542372881,cikm_trace_2_20_19,20,2,1206.680829150855
